key,zh,en,zh_Hant,ru,ko,ja
app_title,The Bazaar Gate,The Bazaar Gate,The Bazaar Gate,The Bazaar Gate,The Bazaar Gate,The Bazaar Gate
title_with_emoji,🎮 The Bazaar Gate,🎮 The Bazaar Gate,🎮 The Bazaar Gate,🎮 The Bazaar Gate,🎮 The Bazaar Gate,🎮 The Bazaar Gate
game_folder_label,📁 游戏目录,📁 Game Directory,📁 遊戲目錄,📁 Каталог гри,📁 게임 디렉토리,📁 ゲームディレクトリ
browse_button,浏览,Browse,瀏覽,Обзор,찾아보기,参照
launcher_folder_label,🚀 启动器目录,🚀 Launcher Directory,🚀 啟動器目錄,🚀 Каталог лаунчера,🚀 런처 디렉토리,🚀 ランチャーディレクトリ
start_game_button,🎯 启动游戏,🎯 Start Game,🎯 啟動遊戲,🎯 Запустить игру,🎯 게임 시작,🎯 ゲーム開始
status_ready,✅ 就绪,✅ Ready,✅ 就緒,✅ Готово,✅ 준비,✅ 準備完了
log_frame_title,📋 运行日志,📋 Operation Log,📋 執行日誌,📋 Журнал операций,📋 작업 로그,📋 ログ
program_started,程序已启动，请设置路径后点击启动按钮,Program started please set paths and click the start button,程式已啟動，請設定路徑後點擊啟動按鈕,Программа запущена, установите пути и нажмите кнопку запуска,프로그램이 시작되었습니다. 경로를 설정한 후 시작 버튼을 클릭하세요,プログラムが開始されました。パス設定後、開始ボタンをクリックしてください
detected_default_game_path,检测到默认游戏路径: {},Detected default game path: {},偵測到預設遊戲路徑：{},Обнаружен путь по умолчанию: {},기본 게임 경로 감지: {},デフォルトのゲームパスが検出されました：{}
no_game_exe_error,所选目录中没有找到 TheBazaar.exe！,TheBazaar.exe not found in selected directory!,所選目錄中沒有找到 TheBazaar.exe！,В выбранном каталоге TheBazaar.exe не найден！,선택한 디렉토리에서 TheBazaar.exe를 찾을 수 없습니다！,選択したディレクトリに TheBazaar.exe が見つかりません！
game_exe_not_found_error,错误: 所选目录中没有找到游戏执行文件,Error Game executable not found in selected directory,錯誤：所選目錄中沒有找到遊戲執行檔,Ошибка: исполняемый файл игры не найден,오류: 선택한 디렉토리에서 게임 실행 파일을 찾을 수 없습니다,エラー：選択したディレクトリにゲーム実行ファイルが見つかりません
no_launcher_error,所选目录中没有找到 Tempo Launcher 启动器！,Tempo Launcher not found in selected directory!,所選目錄中沒有找到 Tempo Launcher 啟動器！,Tempo Launcher не найден в выбранном каталоге！,선택한 디렉토리에서 Tempo Launcher를 찾을 수 없습니다！,選択したディレクトリに Tempo Launcher が見つかりません！
launcher_exe_not_found_error,错误: 所选目录中没有找到启动器执行文件,Error Launcher executable not found,錯誤：所選目錄中沒有找到啟動器執行檔,Ошибка: исполняемый файл лаунчера не найден,오류: 선택한 디렉토리에서 런처 실행 파일을 찾을 수 없습니다,エラー：選択したディレクトリにランチャー実行ファイルが見つかりません
settings_loaded,已加载保存的设置,Settings loaded,已載入儲存的設定,Настройки загружены,설정이 로드되었습니다,設定が読み込まれました
load_settings_failed,加载设置失败: {},Failed to load settings: {},載入設定失敗：{},Не удалось загрузить настройки: {},설정 로드 실패: {},設定の読み込みに失敗しました：{}
save_settings_failed,保存设置失败: {},Failed to save settings: {},儲存設定失敗：{},Не удалось сохранить настройки: {},설정 저장 실패: {},設定の保存に失敗しました：{}
detected_mod,  检测到: {},  Detected: {},  偵測到：{},  Обнаружено：{},  감지됨：{},  検出されました：{}
found_mod_files,发现 {} 个模组文件/文件夹，开始备份...,Found {} mod files/folders starting backup...,發現 {} 個模組檔案/資料夾，開始備份...,Найдено {} мод-файлов/папок, начинается резервное копирование...,{}개의 모드 파일/폴더 발견, 백업 시작...,{}個のモッドファイル/フォルダを発見、バックアップを開始...
backup_success,已备份: {},Backed up: {},已備份：{},Создана резервная копия：{},백업됨：{},バックアップ完了：{}
backup_failed,备份失败 {}: {},Backup failed {}: {},備份失敗 {}：{},Ошибка резервного копирования {}：{},백업 실패 {}：{},バックアップ失敗 {}：{}
delete_failed,删除失败 {}: {},Delete failed {}: {},刪除失敗 {}：{},Ошибка удаления {}：{},삭제 실패 {}：{},削除失敗 {}：{}
no_backup_folder,没有找到备份文件夹,No backup folder found,沒有找到備份資料夾,Папка резервной копии не найдена,백업 폴더를 찾을 수 없습니다,バックアップフォルダが見つかりません
restoring_mods,正在恢复模组文件...,Restoring mod files...,正在恢復模組檔案...,Восстановление мод-файлов...,모드 파일 복원 중...,モッドファイル復元中...
restored_success,已恢复: {},Restored: {},已恢復：{},Восстановлено：{},복원됨：{},復元完了：{}
restore_failed,恢复失败 {}: {},Restore failed {}: {},恢復失敗 {}：{},Ошибка восстановления {}：{},복원 실패 {}：{},復元失敗 {}：{}
backup_folder_cleaned,已清理备份文件夹,Backup folder cleaned,已清理備份資料夾,Папка резервной копии очищена,백업 폴더가 정리되었습니다,バックアップフォルダがクリーンアップされました
close_process_failed,关闭进程失败: {},Failed to close process: {},關閉進程失敗：{},Не удалось закрыть процесс：{},프로세스 닫기 실패：{},プロセスの終了に失敗しました：{}
waiting_launcher_window,等待启动器窗口出现...,Waiting for launcher window...,等待啟動器視窗出現...,Ожидание окна лаунчера...,런처 창 대기 중...,ランチャーウィンドウ待機中...
no_launcher_window_detected,未检测到启动器窗口，继续等待游戏启动...,Launcher window not detected waiting for game start...,未偵測到啟動器視窗，繼續等待遊戲啟動...,Окно лаунчера не обнаружено, ожидание запуска игры...,런처 창이 감지되지 않음, 게임 시작 대기 중...,ランチャーウィンドウが検出されません、ゲームの起動を待機中...
timeout_no_game,超时：{}秒内未检测到游戏启动（您是否点击了PLAY按钮？）,Timeout Game did not start within {} seconds Did you click the PLAY button?,超時：{}秒內未偵測到遊戲啟動（您是否點擊了PLAY按鈕？）,Тайм-аут: игра не запустилась за {} секунд (вы нажали кнопку PLAY?),시간 초과：{}초 이내에 게임이 시작되지 않음 (PLAY 버튼을 클릭했나요?),タイムアウト：{}秒以内にゲームが起動しませんでした（PLAYボタンをクリックしましたか？）
game_detected,✓ 检测到游戏已启动 (PID: {}),✓ Game detected (PID: {}),✓ 偵測到遊戲已啟動 (PID: {}),✓ Игра обнаружена (PID: {}),✓ 게임 감지됨 (PID: {}),✓ ゲームが検出されました (PID: {})
